List,Task,Priority,Due Date,Done,Notes
Today,Write blog post on kitchen gadgets,High,2026-01-02,FALSE,
Today,Check affiliate dashboard,Medium,2026-01-02,TRUE,
Today,Respond to reader comments,Low,2026-01-02,FALSE,
Inbox,Research new affiliate products,High,,FALSE,
Inbox,Update Pinterest automation,Medium,,FALSE,
Upcoming,Quarterly content planning,High,2026-01-05,FALSE,
Upcoming,Update SEO for top 10 posts,Medium,2026-01-10,FALSE,
Upcoming,Review analytics and adjust strategy,Medium,2026-01-15,FALSE,
Someday,Launch YouTube channel,Low,,FALSE,
Someday,Create digital product,Medium,,FALSE,
Someday,Start podcast,Low,,FALSE,
